# BBN prediction of the primordial abundances (Helium-4 and Deuterium) as a function of
# 1)the baryon density $\Omega_b h^2$ 
# 2)the number of extra relativistic degrees of freedom $\Delta N$
# 
# If $\Delta N=0$, $N_{eff} = 3.0440$ because of QED effects and incomplete neurino decoupling (see, e.g., arXiv:2001.04466).
#
# Computation performed with PRyMordial, see arXiv:2307.07061. 
# Latest version of the code at the GitHub repo: https://github.com/vallima/PRyMordial
# Details on the ab-initio computation of neutron freeze out implemented in PRyMordial can be found in arXiv:1801.08023.
# Thermonuclear rates adopted comprise the most recent measurement from LUNA and mainly rely on the NACRE II compilation.
#
# Neutron Decay rate $\tau_n$ follows what recommended in the Particle Data Group 2023.
# CMB temperature is 2.7255 K (without taking into account a possible uncertainty).
#
# He4 is given either as $Y^BBN_P = 4 Y_{He4}$ where $Y_{He4}$ is the ratio of He-4 number density to baryons number density.
# He4 is also provided as $Y_P = Y_{He4} * m_ {He4} /[Y_{He4} m_{He4} + (1 - 4*Y_{He4}) m_H1]$ 
# where $m_{He4}=4.0026032541$ and $m_{H1}=1.00782503223$ are atomic masses. 
#
# Deuterium is given as the ratio of its number density to the H1 number density and noted $D/H$.
# 
# eta10 is $10^10 eta_0$ where $eta_0$ is the density ratio between baryons and photons at the end of BBN, and does not include
# any extra production of He4 by stars after BBN. 
#
# Errors are computed with a Monte Carlo approach where both nuclear rates and neutron life time uncertainties are accounted for.
# For more details, see the Jupiter notebook: https://github.com/vallima/PRyMordial/blob/main/PRyMdemoSM.ipynb
# 
#         ombh2                   eta10                     DeltaN                    Yp                      Yp^BBN                  sig(Yp^BBN)              D/H                      sig(D/H)  
5.000000000000000104e-03 1.368742027746220113e+00 -3.000000000000000000e+00 1.731325851635292790e-01 1.741576891671256511e-01 1.552431998221170278e-04 1.568341442422556279e-04 6.137226951637912704e-06
6.000000000000000125e-03 1.642490433295464181e+00 -3.000000000000000000e+00 1.756319731978997767e-01 1.766687140344070095e-01 1.330213926079637304e-04 1.178152697273974499e-04 4.489411206824758467e-06
7.000000000000000146e-03 1.916238838844708470e+00 -3.000000000000000000e+00 1.775655888583240472e-01 1.786112706534648820e-01 1.390312284845807199e-04 9.277352516821613928e-05 3.583120637163858366e-06
8.000000000000000167e-03 2.189987244393952537e+00 -3.000000000000000000e+00 1.791517575757848035e-01 1.802047336232379116e-01 1.256256183626607492e-04 7.546583409513615013e-05 2.811744938705771432e-06
8.999999999999999320e-03 2.463735649943195938e+00 -3.000000000000000000e+00 1.804624908968516794e-01 1.815214672093583836e-01 1.359319718054521875e-04 6.313968855623381922e-05 2.397073199359660957e-06
1.000000000000000021e-02 2.737484055492440227e+00 -3.000000000000000000e+00 1.816081216162278578e-01 1.826723221367649030e-01 1.490451828650726058e-04 5.374086136486476043e-05 2.210933675805764393e-06
1.099999999999999936e-02 3.011232461041684072e+00 -3.000000000000000000e+00 1.826230207328694011e-01 1.836918336001809871e-01 1.298425297206060784e-04 4.638518156159886891e-05 1.822683724031676884e-06
1.200000000000000025e-02 3.284980866590928361e+00 -3.000000000000000000e+00 1.835253830030904865e-01 1.845982842978498573e-01 1.312565744488677921e-04 4.049144867346138289e-05 1.555779174021569952e-06
1.299999999999999940e-02 3.558729272140172206e+00 -3.000000000000000000e+00 1.843281091988097087e-01 1.854046376430244503e-01 1.334599621621922292e-04 3.576029063323225290e-05 1.476748946979520415e-06
1.400000000000000029e-02 3.832477677689416939e+00 -3.000000000000000000e+00 1.850828317424674796e-01 1.861627619965840752e-01 1.241170959641637846e-04 3.163086623980240265e-05 1.187440286731470630e-06
1.499999999999999944e-02 4.106226083238660785e+00 -3.000000000000000000e+00 1.857650690578086516e-01 1.868480673184471641e-01 1.347169024840299742e-04 2.839081018224782577e-05 1.117474899165730675e-06
1.600000000000000033e-02 4.379974488787905074e+00 -3.000000000000000000e+00 1.863730286667550917e-01 1.874587552921209987e-01 1.307613479803508506e-04 2.572770186651214064e-05 1.088054006153883895e-06
1.700000000000000122e-02 4.653722894337149363e+00 -3.000000000000000000e+00 1.869758017672140116e-01 1.880642282113799135e-01 1.380876673982559173e-04 2.320393910290861103e-05 9.524620635221980481e-07
1.799999999999999864e-02 4.927471299886391876e+00 -3.000000000000000000e+00 1.875030192289101061e-01 1.885938028051092619e-01 1.385661094496964181e-04 2.121701357088383758e-05 8.521349345433607820e-07
1.899999999999999953e-02 5.201219705435637053e+00 -3.000000000000000000e+00 1.880226456738026963e-01 1.891157485437232610e-01 1.325964107014082551e-04 1.934458858038381256e-05 7.917405877312722692e-07
2.000000000000000042e-02 5.474968110984880454e+00 -3.000000000000000000e+00 1.885011145830771673e-01 1.895963496092520351e-01 1.273803509529150481e-04 1.778500880381300153e-05 7.286872378358824781e-07
2.019999999999999921e-02 5.529717792094730022e+00 -3.000000000000000000e+00 1.885964825306914727e-01 1.896921421323210788e-01 1.318771788175987470e-04 1.746179910473466171e-05 7.133742056765217690e-07
2.040000000000000147e-02 5.584467473204578702e+00 -3.000000000000000000e+00 1.886884098555886846e-01 1.897844786017120478e-01 1.305891827846072939e-04 1.716490805737867675e-05 7.056898505829370739e-07
2.060000000000000026e-02 5.639217154314427383e+00 -3.000000000000000000e+00 1.887926752132146890e-01 1.898892078638199921e-01 1.324678462365600916e-04 1.676875503690772732e-05 6.583101410217806634e-07
2.079999999999999905e-02 5.693966835424275175e+00 -3.000000000000000000e+00 1.888741695197545256e-01 1.899710646596339814e-01 1.295712233406966143e-04 1.658238718866083430e-05 6.742642623867560966e-07
2.100000000000000130e-02 5.748716516534125631e+00 -3.000000000000000000e+00 1.889612116412240639e-01 1.900584938411651326e-01 1.267199260380026183e-04 1.631524040341843703e-05 6.310545879517934453e-07
2.120000000000000009e-02 5.803466197643973423e+00 -3.000000000000000000e+00 1.890325507431543928e-01 1.901301500766302832e-01 1.335147568288750112e-04 1.607816056338373287e-05 6.263714018043446736e-07
2.139999999999999888e-02 5.858215878753822103e+00 -3.000000000000000000e+00 1.891340652188541749e-01 1.902321157137514263e-01 1.369387793697000389e-04 1.576228973833158258e-05 6.667428604889966188e-07
2.160000000000000114e-02 5.912965559863671672e+00 -3.000000000000000000e+00 1.892253973302333026e-01 1.903238536356246791e-01 1.244063069975213454e-04 1.553814119456087438e-05 6.225192257149059053e-07
