# Source: NUDEC_BSM repo, https://doi.org/10.1088/1475-7516/2020/05/048
# T (MeV)           P_int (e^2)          P_int (e^3)          
4.000000E+01        -4.075364E+03        3.630319E+02        
3.996407E+01        -4.060738E+03        3.617291E+02        
3.992817E+01        -4.046164E+03        3.604311E+02        
3.989230E+01        -4.031643E+03        3.591377E+02        
3.985646E+01        -4.017173E+03        3.578489E+02        
3.982066E+01        -4.002756E+03        3.565648E+02        
3.978489E+01        -3.988390E+03        3.552852E+02        
3.974915E+01        -3.974076E+03        3.540103E+02        
3.971344E+01        -3.959813E+03        3.527399E+02        
3.967777E+01        -3.945602E+03        3.514741E+02        
3.964212E+01        -3.931441E+03        3.502129E+02        
3.960651E+01        -3.917331E+03        3.489561E+02        
3.957093E+01        -3.903272E+03        3.477039E+02        
3.953539E+01        -3.889263E+03        3.464562E+02        
3.949987E+01        -3.875305E+03        3.452129E+02        
3.946439E+01        -3.861397E+03        3.439741E+02        
3.942894E+01        -3.847538E+03        3.427398E+02        
3.939352E+01        -3.833730E+03        3.415099E+02        
3.935813E+01        -3.819970E+03        3.402843E+02        
3.932277E+01        -3.806261E+03        3.390632E+02        
3.928745E+01        -3.792600E+03        3.378465E+02        
3.925215E+01        -3.778989E+03        3.366342E+02        
3.921689E+01        -3.765426E+03        3.354261E+02        
3.918166E+01        -3.751912E+03        3.342225E+02        
3.914647E+01        -3.738446E+03        3.330231E+02        
3.911130E+01        -3.725029E+03        3.318281E+02        
3.907617E+01        -3.711660E+03        3.306373E+02        
3.904106E+01        -3.698339E+03        3.294508E+02        
3.900599E+01        -3.685066E+03        3.282686E+02        
3.897095E+01        -3.671840E+03        3.270906E+02        
3.893595E+01        -3.658662E+03        3.259168E+02        
3.890097E+01        -3.645531E+03        3.247473E+02        
3.886602E+01        -3.632448E+03        3.235819E+02        
3.883111E+01        -3.619411E+03        3.224207E+02        
3.879623E+01        -3.606421E+03        3.212637E+02        
3.876138E+01        -3.593478E+03        3.201109E+02        
3.872656E+01        -3.580581E+03        3.189622E+02        
3.869177E+01        -3.567730E+03        3.178176E+02        
3.865701E+01        -3.554925E+03        3.166771E+02        
3.862228E+01        -3.542167E+03        3.155407E+02        
3.858759E+01        -3.529454E+03        3.144084E+02        
3.855292E+01        -3.516787E+03        3.132801E+02        
3.851829E+01        -3.504165E+03        3.121559E+02        
3.848369E+01        -3.491589E+03        3.110357E+02        
3.844912E+01        -3.479058E+03        3.099196E+02        
3.841458E+01        -3.466571E+03        3.088075E+02        
3.838007E+01        -3.454130E+03        3.076993E+02        
3.834559E+01        -3.441733E+03        3.065951E+02        
3.831115E+01        -3.429381E+03        3.054949E+02        
3.827673E+01        -3.417073E+03        3.043986E+02        
3.824235E+01        -3.404809E+03        3.033063E+02        
3.820799E+01        -3.392589E+03        3.022179E+02        
3.817367E+01        -3.380413E+03        3.011334E+02        
3.813938E+01        -3.368281E+03        3.000528E+02        
3.810512E+01        -3.356192E+03        2.989760E+02        
3.807089E+01        -3.344146E+03        2.979031E+02        
3.803669E+01        -3.332144E+03        2.968341E+02        
3.800252E+01        -3.320185E+03        2.957689E+02        
3.796838E+01        -3.308269E+03        2.947076E+02        
3.793427E+01        -3.296396E+03        2.936500E+02        
3.790020E+01        -3.284565E+03        2.925962E+02        
3.786615E+01        -3.272777E+03        2.915463E+02        
3.783213E+01        -3.261031E+03        2.905001E+02        
3.779815E+01        -3.249327E+03        2.894576E+02        
3.776419E+01        -3.237665E+03        2.884189E+02        
3.773027E+01        -3.226045E+03        2.873839E+02        
3.769638E+01        -3.214467E+03        2.863526E+02        
3.766251E+01        -3.202930E+03        2.853250E+02        
3.762868E+01        -3.191434E+03        2.843011E+02        
3.759488E+01        -3.179980E+03        2.832809E+02        
3.756111E+01        -3.168567E+03        2.822644E+02        
3.752736E+01        -3.157195E+03        2.812515E+02        
3.749365E+01        -3.145864E+03        2.802422E+02        
3.745997E+01        -3.134574E+03        2.792365E+02        
3.742632E+01        -3.123324E+03        2.782345E+02        
3.739270E+01        -3.112114E+03        2.772361E+02        
3.735911E+01        -3.100944E+03        2.762412E+02        
3.732555E+01        -3.089815E+03        2.752499E+02        
3.729202E+01        -3.078726E+03        2.742622E+02        
3.725852E+01        -3.067676E+03        2.732780E+02        
3.722505E+01        -3.056666E+03        2.722973E+02        
3.719161E+01        -3.045696E+03        2.713202E+02        
3.715820E+01        -3.034765E+03        2.703466E+02        
3.712482E+01        -3.023873E+03        2.693764E+02        
3.709147E+01        -3.013020E+03        2.684098E+02        
3.705815E+01        -3.002206E+03        2.674466E+02        
3.702486E+01        -2.991431E+03        2.664868E+02        
3.699160E+01        -2.980695E+03        2.655305E+02        
3.695837E+01        -2.969997E+03        2.645777E+02        
3.692517E+01        -2.959338E+03        2.636282E+02        
3.689200E+01        -2.948716E+03        2.626822E+02        
3.685886E+01        -2.938133E+03        2.617396E+02        
3.682575E+01        -2.927588E+03        2.608003E+02        
3.679267E+01        -2.917081E+03        2.598644E+02        
3.675961E+01        -2.906612E+03        2.589319E+02        
3.672659E+01        -2.896180E+03        2.580027E+02        
3.669360E+01        -2.885785E+03        2.570769E+02        
3.666064E+01        -2.875428E+03        2.561544E+02        
3.662771E+01        -2.865108E+03        2.552352E+02        
3.659480E+01        -2.854825E+03        2.543193E+02        
3.656193E+01        -2.844579E+03        2.534066E+02        
3.652908E+01        -2.834370E+03        2.524973E+02        
3.649627E+01        -2.824197E+03        2.515912E+02        
3.646348E+01        -2.814061E+03        2.506884E+02        
3.643073E+01        -2.803961E+03        2.497888E+02        
3.639800E+01        -2.793897E+03        2.488924E+02        
3.636531E+01        -2.783870E+03        2.479992E+02        
3.633264E+01        -2.773879E+03        2.471093E+02        
3.630000E+01        -2.763923E+03        2.462225E+02        
3.626739E+01        -2.754003E+03        2.453390E+02        
3.623481E+01        -2.744119E+03        2.444586E+02        
3.620226E+01        -2.734270E+03        2.435813E+02        
3.616974E+01        -2.724457E+03        2.427072E+02        
3.613725E+01        -2.714678E+03        2.418363E+02        
3.610479E+01        -2.704935E+03        2.409684E+02        
3.607235E+01        -2.695227E+03        2.401037E+02        
3.603995E+01        -2.685554E+03        2.392421E+02        
3.600757E+01        -2.675915E+03        2.383836E+02        
3.597523E+01        -2.666311E+03        2.375282E+02        
3.594291E+01        -2.656742E+03        2.366758E+02        
3.591062E+01        -2.647206E+03        2.358265E+02        
3.587836E+01        -2.637705E+03        2.349802E+02        
3.584613E+01        -2.628238E+03        2.341370E+02        
3.581393E+01        -2.618806E+03        2.332968E+02        
3.578176E+01        -2.609406E+03        2.324596E+02        
3.574961E+01        -2.600041E+03        2.316254E+02        
3.571750E+01        -2.590709E+03        2.307942E+02        
3.568541E+01        -2.581411E+03        2.299660E+02        
3.565336E+01        -2.572146E+03        2.291408E+02        
3.562133E+01        -2.562915E+03        2.283185E+02        
3.558933E+01        -2.553716E+03        2.274992E+02        
3.555736E+01        -2.544551E+03        2.266828E+02        
3.552542E+01        -2.535418E+03        2.258693E+02        
3.549351E+01        -2.526318E+03        2.250588E+02        
3.546162E+01        -2.517251E+03        2.242512E+02        
3.542977E+01        -2.508217E+03        2.234464E+02        
3.539794E+01        -2.499214E+03        2.226446E+02        
3.536614E+01        -2.490244E+03        2.218456E+02        
3.533437E+01        -2.481307E+03        2.210496E+02        
3.530263E+01        -2.472401E+03        2.202563E+02        
3.527092E+01        -2.463528E+03        2.194659E+02        
3.523923E+01        -2.454686E+03        2.186784E+02        
3.520758E+01        -2.445876E+03        2.178936E+02        
3.517595E+01        -2.437097E+03        2.171117E+02        
3.514435E+01        -2.428350E+03        2.163326E+02        
3.511278E+01        -2.419635E+03        2.155563E+02        
3.508124E+01        -2.410950E+03        2.147828E+02        
3.504972E+01        -2.402297E+03        2.140120E+02        
3.501824E+01        -2.393675E+03        2.132440E+02        
3.498678E+01        -2.385084E+03        2.124788E+02        
3.495535E+01        -2.376524E+03        2.117163E+02        
3.492395E+01        -2.367994E+03        2.109566E+02        
3.489258E+01        -2.359495E+03        2.101996E+02        
3.486123E+01        -2.351027E+03        2.094453E+02        
3.482991E+01        -2.342589E+03        2.086937E+02        
3.479863E+01        -2.334181E+03        2.079448E+02        
3.476737E+01        -2.325803E+03        2.071985E+02        
3.473613E+01        -2.317456E+03        2.064550E+02        
3.470493E+01        -2.309138E+03        2.057141E+02        
3.467375E+01        -2.300850E+03        2.049759E+02        
3.464261E+01        -2.292592E+03        2.042404E+02        
3.461149E+01        -2.284364E+03        2.035075E+02        
3.458039E+01        -2.276165E+03        2.027772E+02        
3.454933E+01        -2.267996E+03        2.020495E+02        
3.451829E+01        -2.259856E+03        2.013244E+02        
3.448729E+01        -2.251745E+03        2.006020E+02        
3.445630E+01        -2.243663E+03        1.998821E+02        
3.442535E+01        -2.235610E+03        1.991648E+02        
3.439443E+01        -2.227587E+03        1.984501E+02        
3.436353E+01        -2.219592E+03        1.977380E+02        
3.433266E+01        -2.211625E+03        1.970284E+02        
3.430182E+01        -2.203687E+03        1.963214E+02        
3.427101E+01        -2.195778E+03        1.956169E+02        
3.424022E+01        -2.187897E+03        1.949149E+02        
3.420946E+01        -2.180045E+03        1.942154E+02        
3.417873E+01        -2.172220E+03        1.935185E+02        
3.414803E+01        -2.164424E+03        1.928241E+02        
3.411735E+01        -2.156655E+03        1.921321E+02        
3.408670E+01        -2.148915E+03        1.914426E+02        
3.405608E+01        -2.141202E+03        1.907556E+02        
3.402549E+01        -2.133517E+03        1.900711E+02        
3.399492E+01        -2.125860E+03        1.893890E+02        
3.396438E+01        -2.118230E+03        1.887094E+02        
3.393387E+01        -2.110627E+03        1.880322E+02        
3.390339E+01        -2.103052E+03        1.873575E+02        
3.387293E+01        -2.095504E+03        1.866851E+02        
3.384251E+01        -2.087983E+03        1.860152E+02        
3.381210E+01        -2.080488E+03        1.853477E+02        
3.378173E+01        -2.073021E+03        1.846826E+02        
3.375138E+01        -2.065581E+03        1.840198E+02        
3.372106E+01        -2.058167E+03        1.833595E+02        
3.369077E+01        -2.050780E+03        1.827015E+02        
3.366051E+01        -2.043420E+03        1.820458E+02        
3.363027E+01        -2.036086E+03        1.813926E+02        
3.360006E+01        -2.028778E+03        1.807416E+02        
3.356988E+01        -2.021496E+03        1.800930E+02        
3.353972E+01        -2.014241E+03        1.794468E+02        
3.350959E+01        -2.007011E+03        1.788028E+02        
3.347949E+01        -1.999808E+03        1.781612E+02        
3.344941E+01        -1.992630E+03        1.775219E+02        
3.341936E+01        -1.985478E+03        1.768848E+02        
3.338934E+01        -1.978352E+03        1.762501E+02        
3.335935E+01        -1.971252E+03        1.756176E+02        
3.332938E+01        -1.964177E+03        1.749874E+02        
3.329944E+01        -1.957127E+03        1.743594E+02        
