# Source: NUDEC_BSM repo, https://doi.org/10.1088/1475-7516/2020/05/048
# T (MeV)           dP2_int/dT2 (e^2)    dP2_int/dT2 (e^3)    
4.000000E+01        -3.057301E+01        2.722823E+00        
3.996407E+01        -3.051810E+01        2.717934E+00        
3.992817E+01        -3.046329E+01        2.713053E+00        
3.989230E+01        -3.040858E+01        2.708181E+00        
3.985646E+01        -3.035397E+01        2.703317E+00        
3.982066E+01        -3.029946E+01        2.698462E+00        
3.978489E+01        -3.024504E+01        2.693616E+00        
3.974915E+01        -3.019072E+01        2.688779E+00        
3.971344E+01        -3.013650E+01        2.683950E+00        
3.967777E+01        -3.008238E+01        2.679131E+00        
3.964212E+01        -3.002835E+01        2.674319E+00        
3.960651E+01        -2.997442E+01        2.669517E+00        
3.957093E+01        -2.992059E+01        2.664723E+00        
3.953539E+01        -2.986686E+01        2.659937E+00        
3.949987E+01        -2.981322E+01        2.655160E+00        
3.946439E+01        -2.975967E+01        2.650392E+00        
3.942894E+01        -2.970623E+01        2.645632E+00        
3.939352E+01        -2.965288E+01        2.640881E+00        
3.935813E+01        -2.959962E+01        2.636139E+00        
3.932277E+01        -2.954646E+01        2.631405E+00        
3.928745E+01        -2.949340E+01        2.626679E+00        
3.925215E+01        -2.944043E+01        2.621962E+00        
3.921689E+01        -2.938756E+01        2.617253E+00        
3.918166E+01        -2.933478E+01        2.612553E+00        
3.914647E+01        -2.928209E+01        2.607862E+00        
3.911130E+01        -2.922951E+01        2.603178E+00        
3.907617E+01        -2.917701E+01        2.598503E+00        
3.904106E+01        -2.912461E+01        2.593837E+00        
3.900599E+01        -2.907230E+01        2.589179E+00        
3.897095E+01        -2.902009E+01        2.584529E+00        
3.893595E+01        -2.896797E+01        2.579888E+00        
3.890097E+01        -2.891595E+01        2.575255E+00        
3.886602E+01        -2.886402E+01        2.570630E+00        
3.883111E+01        -2.881218E+01        2.566013E+00        
3.879623E+01        -2.876043E+01        2.561405E+00        
3.876138E+01        -2.870878E+01        2.556805E+00        
3.872656E+01        -2.865722E+01        2.552214E+00        
3.869177E+01        -2.860576E+01        2.547630E+00        
3.865701E+01        -2.855438E+01        2.543055E+00        
3.862228E+01        -2.850310E+01        2.538488E+00        
3.858759E+01        -2.845191E+01        2.533930E+00        
3.855292E+01        -2.840081E+01        2.529379E+00        
3.851829E+01        -2.834980E+01        2.524837E+00        
3.848369E+01        -2.829889E+01        2.520303E+00        
3.844912E+01        -2.824807E+01        2.515777E+00        
3.841458E+01        -2.819733E+01        2.511259E+00        
3.838007E+01        -2.814669E+01        2.506749E+00        
3.834559E+01        -2.809614E+01        2.502247E+00        
3.831115E+01        -2.804568E+01        2.497753E+00        
3.827673E+01        -2.799532E+01        2.493268E+00        
3.824235E+01        -2.794504E+01        2.488790E+00        
3.820799E+01        -2.789485E+01        2.484321E+00        
3.817367E+01        -2.784475E+01        2.479860E+00        
3.813938E+01        -2.779474E+01        2.475406E+00        
3.810512E+01        -2.774483E+01        2.470961E+00        
3.807089E+01        -2.769500E+01        2.466523E+00        
3.803669E+01        -2.764526E+01        2.462094E+00        
3.800252E+01        -2.759561E+01        2.457672E+00        
3.796838E+01        -2.754605E+01        2.453259E+00        
3.793427E+01        -2.749658E+01        2.448853E+00        
3.790020E+01        -2.744720E+01        2.444455E+00        
3.786615E+01        -2.739790E+01        2.440065E+00        
3.783213E+01        -2.734870E+01        2.435683E+00        
3.779815E+01        -2.729958E+01        2.431309E+00        
3.776419E+01        -2.725055E+01        2.426943E+00        
3.773027E+01        -2.720161E+01        2.422585E+00        
3.769638E+01        -2.715276E+01        2.418234E+00        
3.766251E+01        -2.710399E+01        2.413891E+00        
3.762868E+01        -2.705531E+01        2.409556E+00        
3.759488E+01        -2.700672E+01        2.405229E+00        
3.756111E+01        -2.695822E+01        2.400910E+00        
3.752736E+01        -2.690981E+01        2.396598E+00        
3.749365E+01        -2.686148E+01        2.392294E+00        
3.745997E+01        -2.681323E+01        2.387998E+00        
3.742632E+01        -2.676508E+01        2.383710E+00        
3.739270E+01        -2.671701E+01        2.379429E+00        
3.735911E+01        -2.666903E+01        2.375156E+00        
3.732555E+01        -2.662113E+01        2.370890E+00        
3.729202E+01        -2.657332E+01        2.366633E+00        
3.725852E+01        -2.652560E+01        2.362383E+00        
3.722505E+01        -2.647796E+01        2.358140E+00        
3.719161E+01        -2.643040E+01        2.353905E+00        
3.715820E+01        -2.638294E+01        2.349678E+00        
3.712482E+01        -2.633555E+01        2.345459E+00        
3.709147E+01        -2.628826E+01        2.341246E+00        
3.705815E+01        -2.624104E+01        2.337042E+00        
3.702486E+01        -2.619392E+01        2.332845E+00        
3.699160E+01        -2.614687E+01        2.328656E+00        
3.695837E+01        -2.609991E+01        2.324474E+00        
3.692517E+01        -2.605304E+01        2.320299E+00        
3.689200E+01        -2.600625E+01        2.316132E+00        
3.685886E+01        -2.595954E+01        2.311973E+00        
3.682575E+01        -2.591292E+01        2.307821E+00        
3.679267E+01        -2.586638E+01        2.303677E+00        
3.675961E+01        -2.581993E+01        2.299540E+00        
3.672659E+01        -2.577356E+01        2.295410E+00        
3.669360E+01        -2.572727E+01        2.291288E+00        
3.666064E+01        -2.568106E+01        2.287173E+00        
3.662771E+01        -2.563494E+01        2.283066E+00        
3.659480E+01        -2.558890E+01        2.278966E+00        
3.656193E+01        -2.554295E+01        2.274873E+00        
3.652908E+01        -2.549707E+01        2.270788E+00        
3.649627E+01        -2.545128E+01        2.266710E+00        
3.646348E+01        -2.540557E+01        2.262639E+00        
3.643073E+01        -2.535994E+01        2.258576E+00        
3.639800E+01        -2.531440E+01        2.254520E+00        
3.636531E+01        -2.526893E+01        2.250471E+00        
3.633264E+01        -2.522355E+01        2.246429E+00        
3.630000E+01        -2.517825E+01        2.242395E+00        
3.626739E+01        -2.513303E+01        2.238368E+00        
3.623481E+01        -2.508789E+01        2.234348E+00        
3.620226E+01        -2.504284E+01        2.230336E+00        
3.616974E+01        -2.499786E+01        2.226331E+00        
3.613725E+01        -2.495297E+01        2.222333E+00        
3.610479E+01        -2.490815E+01        2.218342E+00        
3.607235E+01        -2.486342E+01        2.214358E+00        
3.603995E+01        -2.481876E+01        2.210381E+00        
3.600757E+01        -2.477419E+01        2.206412E+00        
3.597523E+01        -2.472970E+01        2.202449E+00        
3.594291E+01        -2.468528E+01        2.198494E+00        
3.591062E+01        -2.464095E+01        2.194546E+00        
3.587836E+01        -2.459669E+01        2.190605E+00        
3.584613E+01        -2.455252E+01        2.186671E+00        
3.581393E+01        -2.450842E+01        2.182744E+00        
3.578176E+01        -2.446441E+01        2.178824E+00        
3.574961E+01        -2.442047E+01        2.174911E+00        
3.571750E+01        -2.437661E+01        2.171006E+00        
3.568541E+01        -2.433283E+01        2.167107E+00        
3.565336E+01        -2.428913E+01        2.163215E+00        
3.562133E+01        -2.424551E+01        2.159330E+00        
3.558933E+01        -2.420197E+01        2.155452E+00        
3.555736E+01        -2.415850E+01        2.151582E+00        
3.552542E+01        -2.411511E+01        2.147718E+00        
3.549351E+01        -2.407180E+01        2.143861E+00        
3.546162E+01        -2.402857E+01        2.140011E+00        
3.542977E+01        -2.398541E+01        2.136168E+00        
3.539794E+01        -2.394234E+01        2.132331E+00        
3.536614E+01        -2.389934E+01        2.128502E+00        
3.533437E+01        -2.385642E+01        2.124680E+00        
3.530263E+01        -2.381357E+01        2.120864E+00        
3.527092E+01        -2.377080E+01        2.117055E+00        
3.523923E+01        -2.372811E+01        2.113253E+00        
3.520758E+01        -2.368549E+01        2.109458E+00        
3.517595E+01        -2.364296E+01        2.105670E+00        
3.514435E+01        -2.360049E+01        2.101889E+00        
3.511278E+01        -2.355811E+01        2.098114E+00        
3.508124E+01        -2.351580E+01        2.094346E+00        
3.504972E+01        -2.347357E+01        2.090585E+00        
3.501824E+01        -2.343141E+01        2.086831E+00        
3.498678E+01        -2.338933E+01        2.083083E+00        
3.495535E+01        -2.334732E+01        2.079342E+00        
3.492395E+01        -2.330539E+01        2.075608E+00        
3.489258E+01        -2.326353E+01        2.071880E+00        
3.486123E+01        -2.322175E+01        2.068160E+00        
3.482991E+01        -2.318005E+01        2.064446E+00        
3.479863E+01        -2.313841E+01        2.060738E+00        
3.476737E+01        -2.309686E+01        2.057037E+00        
3.473613E+01        -2.305538E+01        2.053343E+00        
3.470493E+01        -2.301397E+01        2.049656E+00        
3.467375E+01        -2.297264E+01        2.045975E+00        
3.464261E+01        -2.293138E+01        2.042301E+00        
3.461149E+01        -2.289020E+01        2.038633E+00        
3.458039E+01        -2.284909E+01        2.034972E+00        
3.454933E+01        -2.280805E+01        2.031318E+00        
3.451829E+01        -2.276709E+01        2.027670E+00        
3.448729E+01        -2.272620E+01        2.024028E+00        
3.445630E+01        -2.268538E+01        2.020393E+00        
3.442535E+01        -2.264464E+01        2.016765E+00        
3.439443E+01        -2.260397E+01        2.013143E+00        
3.436353E+01        -2.256337E+01        2.009528E+00        
3.433266E+01        -2.252285E+01        2.005919E+00        
3.430182E+01        -2.248240E+01        2.002317E+00        
3.427101E+01        -2.244202E+01        1.998721E+00        
3.424022E+01        -2.240172E+01        1.995132E+00        
3.420946E+01        -2.236148E+01        1.991549E+00        
3.417873E+01        -2.232132E+01        1.987972E+00        
3.414803E+01        -2.228123E+01        1.984402E+00        
3.411735E+01        -2.224122E+01        1.980839E+00        
3.408670E+01        -2.220127E+01        1.977281E+00        
3.405608E+01        -2.216140E+01        1.973730E+00        
3.402549E+01        -2.212160E+01        1.970186E+00        
3.399492E+01        -2.208187E+01        1.966648E+00        
3.396438E+01        -2.204221E+01        1.963116E+00        
3.393387E+01        -2.200262E+01        1.959591E+00        
3.390339E+01        -2.196311E+01        1.956071E+00        
3.387293E+01        -2.192366E+01        1.952559E+00        
3.384251E+01        -2.188429E+01        1.949052E+00        
3.381210E+01        -2.184498E+01        1.945552E+00        
3.378173E+01        -2.180575E+01        1.942058E+00        
3.375138E+01        -2.176659E+01        1.938570E+00        
3.372106E+01        -2.172749E+01        1.935089E+00        
3.369077E+01        -2.168847E+01        1.931614E+00        
3.366051E+01        -2.164952E+01        1.928145E+00        
3.363027E+01        -2.161064E+01        1.924682E+00        
3.360006E+01        -2.157183E+01        1.921226E+00        
3.356988E+01        -2.153308E+01        1.917776E+00        
3.353972E+01        -2.149441E+01        1.914332E+00        
3.350959E+01        -2.145581E+01        1.910894E+00        
3.347949E+01        -2.141727E+01        1.907462E+00        
3.344941E+01        -2.137881E+01        1.904037E+00        
3.341936E+01        -2.134041E+01        1.900617E+00        
3.338934E+01        -2.130208E+01        1.897204E+00        
3.335935E+01        -2.126383E+01        1.893797E+00        
3.332938E+01        -2.122564E+01        1.890396E+00        
3.329944E+01        -2.118752E+01        1.887001E+00        
3.326953E+01        -2.114946E+01        1.883613E+00        
3.323964E+01        -2.111148E+01        1.880230E+00        
3.320978E+01        -2.107356E+01        1.876853E+00        
3.317995E+01        -2.103572E+01        1.873483E+00        
3.315014E+01        -2.099794E+01        1.870118E+00        
3.312036E+01        -2.096022E+01        1.866760E+00        
3.309061E+01        -2.092258E+01        1.863408E+00        
3.306089E+01        -2.088500E+01        1.860061E+00        
3.303119E+01        -2.084749E+01        1.856721E+00        
3.300151E+01        -2.081005E+01        1.853386E+00        
3.297187E+01        -2.077268E+01        1.850058E+00        
3.294225E+01        -2.073537E+01        1.846736E+00        
3.291266E+01        -2.069813E+01        1.843419E+00        
3.288309E+01        -2.066096E+01        1.840109E+00        
3.285355E+01        -2.062385E+01        1.836804E+00        
3.282404E+01        -2.058681E+01        1.833505E+00        
3.279455E+01        -2.054983E+01        1.830213E+00        
3.276509E+01        -2.051293E+01        1.826926E+00        
3.273566E+01        -2.047609E+01        1.823645E+00        
3.270625E+01        -2.043931E+01        1.820370E+00        
