# Source: NUDEC_BSM repo, https://doi.org/10.1088/1475-7516/2020/05/048
# T (MeV)           dP_int/dT (e^2)      dP_int/dT (e^3)      
4.000000E+01        -4.075962E+02        3.630386E+01        
3.996407E+01        -4.064986E+02        3.620611E+01        
3.992817E+01        -4.054040E+02        3.610862E+01        
3.989230E+01        -4.043123E+02        3.601140E+01        
3.985646E+01        -4.032236E+02        3.591444E+01        
3.982066E+01        -4.021378E+02        3.581774E+01        
3.978489E+01        -4.010549E+02        3.572129E+01        
3.974915E+01        -3.999749E+02        3.562511E+01        
3.971344E+01        -3.988979E+02        3.552919E+01        
3.967777E+01        -3.978237E+02        3.543352E+01        
3.964212E+01        -3.967524E+02        3.533812E+01        
3.960651E+01        -3.956841E+02        3.524297E+01        
3.957093E+01        -3.946185E+02        3.514807E+01        
3.953539E+01        -3.935559E+02        3.505344E+01        
3.949987E+01        -3.924961E+02        3.495905E+01        
3.946439E+01        -3.914392E+02        3.486492E+01        
3.942894E+01        -3.903851E+02        3.477105E+01        
3.939352E+01        -3.893339E+02        3.467742E+01        
3.935813E+01        -3.882855E+02        3.458405E+01        
3.932277E+01        -3.872399E+02        3.449093E+01        
3.928745E+01        -3.861971E+02        3.439806E+01        
3.925215E+01        -3.851572E+02        3.430544E+01        
3.921689E+01        -3.841200E+02        3.421308E+01        
3.918166E+01        -3.830856E+02        3.412095E+01        
3.914647E+01        -3.820541E+02        3.402908E+01        
3.911130E+01        -3.810252E+02        3.393746E+01        
3.907617E+01        -3.799992E+02        3.384608E+01        
3.904106E+01        -3.789759E+02        3.375494E+01        
3.900599E+01        -3.779554E+02        3.366406E+01        
3.897095E+01        -3.769377E+02        3.357341E+01        
3.893595E+01        -3.759226E+02        3.348302E+01        
3.890097E+01        -3.749103E+02        3.339286E+01        
3.886602E+01        -3.739008E+02        3.330295E+01        
3.883111E+01        -3.728939E+02        3.321328E+01        
3.879623E+01        -3.718898E+02        3.312385E+01        
3.876138E+01        -3.708883E+02        3.303466E+01        
3.872656E+01        -3.698896E+02        3.294571E+01        
3.869177E+01        -3.688935E+02        3.285701E+01        
3.865701E+01        -3.679002E+02        3.276854E+01        
3.862228E+01        -3.669095E+02        3.268030E+01        
3.858759E+01        -3.659214E+02        3.259231E+01        
3.855292E+01        -3.649361E+02        3.250455E+01        
3.851829E+01        -3.639534E+02        3.241703E+01        
3.848369E+01        -3.629733E+02        3.232975E+01        
3.844912E+01        -3.619959E+02        3.224270E+01        
3.841458E+01        -3.610211E+02        3.215588E+01        
3.838007E+01        -3.600489E+02        3.206930E+01        
3.834559E+01        -3.590793E+02        3.198295E+01        
3.831115E+01        -3.581124E+02        3.189684E+01        
3.827673E+01        -3.571481E+02        3.181095E+01        
3.824235E+01        -3.561863E+02        3.172530E+01        
3.820799E+01        -3.552272E+02        3.163988E+01        
3.817367E+01        -3.542706E+02        3.155468E+01        
3.813938E+01        -3.533166E+02        3.146972E+01        
3.810512E+01        -3.523652E+02        3.138499E+01        
3.807089E+01        -3.514163E+02        3.130048E+01        
3.803669E+01        -3.504700E+02        3.121620E+01        
3.800252E+01        -3.495262E+02        3.113215E+01        
3.796838E+01        -3.485850E+02        3.104833E+01        
3.793427E+01        -3.476463E+02        3.096473E+01        
3.790020E+01        -3.467102E+02        3.088135E+01        
3.786615E+01        -3.457765E+02        3.079820E+01        
3.783213E+01        -3.448454E+02        3.071527E+01        
3.779815E+01        -3.439168E+02        3.063257E+01        
3.776419E+01        -3.429907E+02        3.055009E+01        
3.773027E+01        -3.420671E+02        3.046783E+01        
3.769638E+01        -3.411459E+02        3.038580E+01        
3.766251E+01        -3.402273E+02        3.030398E+01        
3.762868E+01        -3.393111E+02        3.022239E+01        
3.759488E+01        -3.383974E+02        3.014101E+01        
3.756111E+01        -3.374861E+02        3.005985E+01        
3.752736E+01        -3.365773E+02        2.997892E+01        
3.749365E+01        -3.356710E+02        2.989820E+01        
3.745997E+01        -3.347670E+02        2.981769E+01        
3.742632E+01        -3.338656E+02        2.973741E+01        
3.739270E+01        -3.329665E+02        2.965734E+01        
3.735911E+01        -3.320699E+02        2.957748E+01        
3.732555E+01        -3.311757E+02        2.949784E+01        
3.729202E+01        -3.302839E+02        2.941842E+01        
3.725852E+01        -3.293945E+02        2.933921E+01        
3.722505E+01        -3.285074E+02        2.926021E+01        
3.719161E+01        -3.276228E+02        2.918142E+01        
3.715820E+01        -3.267406E+02        2.910285E+01        
3.712482E+01        -3.258607E+02        2.902449E+01        
3.709147E+01        -3.249832E+02        2.894634E+01        
3.705815E+01        -3.241081E+02        2.886840E+01        
3.702486E+01        -3.232353E+02        2.879067E+01        
3.699160E+01        -3.223649E+02        2.871315E+01        
3.695837E+01        -3.214968E+02        2.863584E+01        
3.692517E+01        -3.206310E+02        2.855873E+01        
3.689200E+01        -3.197676E+02        2.848184E+01        
3.685886E+01        -3.189065E+02        2.840515E+01        
3.682575E+01        -3.180478E+02        2.832866E+01        
3.679267E+01        -3.171913E+02        2.825239E+01        
3.675961E+01        -3.163371E+02        2.817632E+01        
3.672659E+01        -3.154853E+02        2.810045E+01        
3.669360E+01        -3.146357E+02        2.802479E+01        
3.666064E+01        -3.137885E+02        2.794933E+01        
3.662771E+01        -3.129435E+02        2.787407E+01        
3.659480E+01        -3.121008E+02        2.779902E+01        
3.656193E+01        -3.112603E+02        2.772417E+01        
3.652908E+01        -3.104221E+02        2.764952E+01        
3.649627E+01        -3.095862E+02        2.757507E+01        
3.646348E+01        -3.087525E+02        2.750082E+01        
3.643073E+01        -3.079211E+02        2.742678E+01        
