# Source: NUDEC_BSM repo, https://doi.org/10.1088/1475-7516/2020/05/048
#T_gam (MeV)   rate_m/rate_0
1.0000000E-10  0.0000000E+00
9.9000000E-03  0.0000000E+00
1.0000000E-02  2.7020702E-35
1.0232930E-02  2.3760665E-34
1.0471285E-02  1.9965839E-33
1.0715193E-02  1.5846261E-32
1.0964782E-02  1.1936751E-31
1.1220185E-02  8.6066637E-31
1.1481536E-02  5.9051302E-30
1.1748976E-02  3.8608739E-29
1.2022644E-02  2.4085845E-28
1.2302688E-02  1.4363524E-27
1.2589254E-02  8.1980318E-27
1.2882496E-02  4.4818679E-26
1.3182567E-02  2.3461288E-25
1.3489629E-02  1.1781591E-24
1.3803843E-02  5.7039987E-24
1.4125375E-02  2.6412262E-23
1.4454398E-02  1.1842245E-22
1.4791084E-02  5.0987376E-22
1.5135612E-02  2.1068647E-21
1.5488166E-02  8.4691510E-21
1.5848932E-02  3.2724088E-20
1.6218101E-02  1.2229950E-19
1.6595869E-02  4.4206422E-19
1.6982437E-02  1.4976197E-18
1.7378008E-02  5.2366162E-18
1.7782794E-02  1.7185753E-17
1.8197009E-02  5.4744879E-17
1.8620871E-02  1.6928994E-16
1.9054607E-02  5.0697857E-16
1.9498446E-02  1.4811639E-15
1.9952623E-02  4.2089037E-15
2.0417379E-02  1.1613884E-14
2.0892961E-02  3.1299911E-14
2.1379621E-02  8.2064077E-14
2.1877616E-02  2.0980260E-13
2.2387211E-02  5.2316761E-13
2.2908677E-02  1.2726956E-12
2.3442288E-02  3.0263501E-12
2.3988329E-02  7.0334057E-12
2.4547089E-02  1.5925275E-11
2.5118864E-02  3.5436369E-11
2.5703958E-02  7.7150640E-11
2.6302680E-02  1.6439254E-10
2.6915348E-02  3.4290520E-10
2.7542287E-02  7.0153033E-10
2.8183829E-02  1.4063523E-09
2.8840315E-02  2.7723252E-09
2.9512092E-02  5.3541411E-09
3.0199517E-02  1.0158310E-08
3.0902954E-02  1.8765349E-08
3.1622777E-02  3.4215298E-08
3.2359366E-02  6.1181150E-08
3.3113112E-02  1.0750795E-07
3.3884416E-02  1.8436229E-07
3.4673685E-02  3.2856543E-07
3.5481339E-02  5.5546869E-07
3.6307805E-02  9.2679148E-07
3.7153523E-02  1.5168165E-06
3.8018940E-02  2.4521661E-06
3.8904514E-02  3.9116981E-06
3.9810717E-02  6.1389175E-06
4.0738028E-02  9.5188240E-06
4.1686938E-02  1.4576267E-05
4.2657952E-02  2.2035520E-05
4.3651583E-02  3.2902644E-05
4.4668359E-02  4.8496422E-05
4.5708819E-02  7.0692348E-05
4.6773514E-02  1.0182753E-04
4.7863009E-02  1.4506774E-04
4.8977882E-02  2.0442120E-04
5.0118723E-02  2.8484341E-04
5.1286138E-02  3.9291589E-04
5.2480746E-02  5.3638207E-04
5.3703180E-02  7.2533681E-04
5.4954087E-02  1.6431051E-03
5.6234133E-02  2.0794751E-03
5.7543994E-02  2.6093729E-03
5.8884366E-02  3.2474517E-03
6.0255959E-02  4.0093982E-03
6.1659500E-02  4.9118769E-03
6.3095734E-02  4.6157677E-03
6.4565423E-02  5.8108529E-03
6.6069345E-02  7.2497512E-03
6.7608298E-02  8.9915696E-03
6.9183097E-02  1.1057369E-02
7.0794578E-02  1.3502738E-02
7.2443596E-02  1.6374042E-02
7.4131024E-02  1.9716055E-02
7.5857758E-02  2.3579048E-02
7.7624712E-02  2.7997966E-02
7.9432823E-02  3.3053924E-02
8.1283052E-02  3.8781832E-02
8.3176377E-02  4.5221499E-02
8.5113804E-02  5.2422743E-02
8.7096359E-02  6.0423131E-02
8.9125094E-02  6.9250999E-02
9.1201084E-02  7.8941081E-02
9.3325430E-02  8.9515032E-02
