# Source: NUDEC_BSM repo, https://doi.org/10.1088/1475-7516/2020/05/048
#T_gam (MeV)   rate_m/rate_0
1.0000000E-10  0.0000000E+00
9.9000000E-03  0.0000000E+00
1.0000000E-02  7.6560701E-21
1.0232930E-02  2.3180387E-20
1.0471285E-02  6.9808466E-20
1.0715193E-02  2.0834499E-19
1.0964782E-02  6.1522854E-19
1.1220185E-02  1.7287928E-18
1.1481536E-02  4.7922839E-18
1.1748976E-02  1.2968424E-17
1.2022644E-02  3.4253945E-17
1.2302688E-02  8.8646414E-17
1.2589254E-02  2.2404438E-16
1.2882496E-02  5.5405891E-16
1.3182567E-02  1.3429450E-15
1.3489629E-02  3.1850413E-15
1.3803843E-02  7.3970967E-15
1.4125375E-02  1.6860456E-14
1.4454398E-02  3.7695370E-14
1.4791084E-02  8.2708820E-14
1.5135612E-02  1.7809552E-13
1.5488166E-02  3.7661624E-13
1.5848932E-02  7.4866906E-13
1.6218101E-02  1.5991685E-12
1.6595869E-02  3.2146419E-12
1.6982437E-02  6.3426782E-12
1.7378008E-02  1.2336040E-11
1.7782794E-02  2.3605925E-11
1.8197009E-02  4.4474691E-11
1.8620871E-02  8.2520685E-11
1.9054607E-02  1.4967670E-10
1.9498446E-02  2.7221751E-10
1.9952623E-02  4.7977016E-10
2.0417379E-02  8.4167702E-10
2.0892961E-02  1.4574813E-09
2.1379621E-02  2.4890932E-09
2.1877616E-02  4.1985120E-09
2.2387211E-02  6.9923126E-09
2.2908677E-02  1.1506134E-08
2.3442288E-02  1.8711640E-08
2.3988329E-02  3.0051297E-08
2.4547089E-02  4.7992572E-08
2.5118864E-02  7.5070911E-08
2.5703958E-02  1.1667186E-07
2.6302680E-02  1.7941559E-07
2.6915348E-02  2.7297708E-07
2.7542287E-02  4.1242190E-07
2.8183829E-02  6.1481052E-07
2.8840315E-02  9.0483761E-07
2.9512092E-02  1.3236881E-06
3.0199517E-02  1.9186631E-06
3.0902954E-02  2.7551282E-06
3.1622777E-02  3.9230936E-06
3.2359366E-02  5.5376698E-06
3.3113112E-02  7.7496557E-06
3.3884416E-02  1.0755372E-05
3.4673685E-02  1.4809212E-05
3.5481339E-02  2.0225444E-05
3.6307805E-02  2.7417531E-05
3.7153523E-02  3.6893716E-05
3.8018940E-02  4.9240673E-05
3.8904514E-02  6.5277629E-05
3.9810717E-02  8.5519737E-05
4.0738028E-02  1.1184721E-04
4.1686938E-02  1.4509778E-04
4.2657952E-02  1.8731038E-04
4.3651583E-02  2.4088200E-04
4.4668359E-02  3.0591617E-04
4.5708819E-02  3.8748031E-04
4.6773514E-02  4.8903055E-04
4.7863009E-02  6.1174287E-04
4.8977882E-02  7.5939744E-04
5.0118723E-02  9.3942579E-04
5.1286138E-02  1.1559439E-03
5.2480746E-02  1.4169049E-03
5.3703180E-02  1.7221394E-03
5.4954087E-02  2.0860684E-03
5.6234133E-02  2.5135767E-03
5.7543994E-02  3.0177731E-03
5.8884366E-02  3.6013604E-03
6.0255959E-02  4.2739590E-03
6.1659500E-02  5.0526073E-03
6.3095734E-02  5.9532163E-03
6.4565423E-02  6.9731816E-03
6.6069345E-02  8.1397456E-03
6.7608298E-02  9.4614451E-03
6.9183097E-02  1.0959829E-02
7.0794578E-02  1.2636671E-02
7.2443596E-02  1.4515296E-02
7.4131024E-02  1.6609516E-02
7.5857758E-02  1.8935240E-02
7.7624712E-02  2.1509834E-02
7.9432823E-02  2.4330059E-02
8.1283052E-02  2.7468850E-02
8.3176377E-02  3.0882271E-02
8.5113804E-02  3.4608942E-02
8.7096359E-02  3.8660318E-02
8.9125094E-02  4.3050668E-02
9.1201084E-02  4.7793771E-02
9.3325430E-02  5.2903698E-02
