# Source: NUDEC_BSM repo, https://doi.org/10.1088/1475-7516/2020/05/048
#T_gam (MeV)   rate_m/rate_0
1.0000000E-10  0.0000000E+00
9.9000000E-03  0.0000000E+00
1.0000000E-02  8.9566910E-37
1.0232930E-02  8.0524818E-36
1.0471285E-02  6.8654397E-35
1.0715193E-02  5.5534609E-34
1.0964782E-02  4.2696659E-33
1.1220185E-02  3.1299371E-32
1.1481536E-02  2.1871683E-31
1.1748976E-02  1.4564498E-30
1.2022644E-02  9.2611373E-30
1.2302688E-02  5.6296535E-29
1.2589254E-02  3.2745052E-28
1.2882496E-02  1.8229598E-27
1.3182567E-02  9.7438194E-27
1.3489629E-02  4.9953993E-26
1.3803843E-02  2.4626042E-25
1.4125375E-02  1.1610749E-24
1.4454398E-02  5.3169563E-24
1.4791084E-02  2.3353600E-23
1.5135612E-02  9.8684661E-23
1.5488166E-02  4.0381822E-22
1.5848932E-02  1.5928050E-21
1.6218101E-02  6.0729188E-21
1.6595869E-02  2.2397189E-20
1.6982437E-02  7.9951781E-20
1.7378008E-02  2.7644816E-19
1.7782794E-02  9.2666277E-19
1.8197009E-02  3.0124701E-18
1.8620871E-02  9.5105495E-18
1.9054607E-02  2.9127476E-17
1.9498446E-02  8.6864813E-17
1.9952623E-02  2.5194883E-16
2.0417379E-02  7.1105521E-16
2.0892961E-02  1.9544519E-15
2.1379621E-02  5.2347969E-15
2.1877616E-02  1.3672333E-14
2.2387211E-02  3.4841220E-14
2.2908677E-02  8.6657200E-14
2.3442288E-02  2.1055500E-13
2.3988329E-02  5.0011457E-13
2.4547089E-02  1.1589292E-12
2.5118864E-02  2.6349058E-12
2.5703958E-02  5.8619554E-12
2.6302680E-02  1.2766124E-11
2.6915348E-02  2.7258176E-11
2.7542287E-02  5.7001249E-11
2.8183829E-02  1.1693600E-10
2.8840315E-02  2.3534941E-10
2.9512092E-02  4.6488767E-10
3.0199517E-02  9.0204263E-10
3.0902954E-02  1.7192187E-09
3.1622777E-02  3.2207299E-09
3.2359366E-02  5.9306577E-09
3.3113112E-02  1.0745025E-08
3.3884416E-02  1.8656992E-08
3.4673685E-02  3.3513909E-08
3.5481339E-02  5.8112744E-08
3.6307805E-02  9.8928360E-08
3.7153523E-02  1.6598615E-07
3.8018940E-02  2.7429249E-07
3.8904514E-02  4.4774280E-07
3.9810717E-02  7.1964591E-07
4.0738028E-02  1.1429288E-06
4.1686938E-02  1.7919160E-06
4.2657952E-02  2.7737841E-06
4.3651583E-02  4.2394590E-06
4.4668359E-02  6.3983361E-06
4.5708819E-02  9.5556224E-06
4.6773514E-02  1.4091208E-05
4.7863009E-02  2.0562287E-05
4.8977882E-02  2.9675976E-05
5.0118723E-02  4.2370297E-05
5.1286138E-02  5.9870435E-05
5.2480746E-02  7.3724592E-05
5.3703180E-02  9.1597697E-05
5.4954087E-02  1.5906833E-04
5.6234133E-02  3.1610136E-04
5.7543994E-02  5.8897022E-04
5.8884366E-02  6.2634293E-04
6.0255959E-02  7.6007508E-04
6.1659500E-02  8.0119044E-04
6.3095734E-02  9.7546204E-04
6.4565423E-02  1.1294718E-03
6.6069345E-02  1.4456137E-03
6.7608298E-02  1.8360415E-03
6.9183097E-02  2.3144946E-03
7.0794578E-02  2.8964108E-03
7.2443596E-02  3.5988819E-03
7.4131024E-02  4.4408285E-03
7.5857758E-02  5.4427582E-03
7.7624712E-02  6.6270773E-03
7.9432823E-02  8.0170761E-03
8.1283052E-02  9.6390701E-03
8.3176377E-02  1.1517021E-02
8.5113804E-02  1.3681710E-02
8.7096359E-02  1.6160185E-02
8.9125094E-02  1.8981103E-02
9.1201084E-02  2.2172766E-02
9.3325430E-02  2.5763097E-02
