# Source: NUDEC_BSM repo, https://doi.org/10.1088/1475-7516/2020/05/048
#T_gam (MeV)   rate_m/rate_0
1.0000000E-10  0.0000000E+00
9.9000000E-03  0.0000000E+00
1.0000000E-02  1.7446900E-20
1.0232930E-02  5.5541009E-20
1.0471285E-02  1.6682956E-19
1.0715193E-02  5.0462363E-19
1.0964782E-02  1.4866764E-18
1.1220185E-02  4.1452402E-18
1.1481536E-02  1.1363923E-17
1.1748976E-02  3.1053279E-17
1.2022644E-02  8.0716503E-17
1.2302688E-02  2.0829928E-16
1.2589254E-02  5.3223216E-16
1.2882496E-02  1.3149144E-15
1.3182567E-02  3.1766004E-15
1.3489629E-02  7.5153524E-15
1.3803843E-02  1.7427410E-14
1.4125375E-02  3.9607553E-14
1.4454398E-02  8.8173469E-14
1.4791084E-02  1.9313830E-13
1.5135612E-02  4.1417877E-13
1.5488166E-02  8.7297061E-13
1.5848932E-02  1.7316663E-12
1.6218101E-02  3.6829045E-12
1.6595869E-02  7.3714459E-12
1.6982437E-02  1.4515721E-11
1.7378008E-02  2.8138762E-11
1.7782794E-02  5.3622229E-11
1.8197009E-02  1.0067909E-10
1.8620871E-02  1.8613905E-10
1.9054607E-02  3.3983589E-10
1.9498446E-02  6.0965787E-10
1.9952623E-02  1.0769514E-09
2.0417379E-02  1.8808749E-09
2.0892961E-02  3.2431245E-09
2.1379621E-02  5.4778481E-09
2.1877616E-02  9.1945299E-09
2.2387211E-02  1.5244845E-08
2.2908677E-02  2.5125868E-08
2.3442288E-02  4.0393592E-08
2.3988329E-02  6.4654486E-08
2.4547089E-02  1.0219079E-07
2.5118864E-02  1.6052839E-07
2.5703958E-02  2.4832062E-07
2.6302680E-02  3.7832668E-07
2.6915348E-02  5.7254361E-07
2.7542287E-02  8.6065839E-07
2.8183829E-02  1.2693680E-06
2.8840315E-02  1.8743463E-06
2.9512092E-02  2.7201761E-06
3.0199517E-02  3.9170027E-06
3.0902954E-02  5.5975741E-06
3.1622777E-02  7.9227991E-06
3.2359366E-02  1.1114679E-05
3.3113112E-02  1.5466579E-05
3.3884416E-02  2.1340946E-05
3.4673685E-02  2.9210014E-05
3.5481339E-02  3.9663124E-05
3.6307805E-02  5.3544585E-05
3.7153523E-02  7.1552815E-05
3.8018940E-02  9.4817721E-05
3.8904514E-02  1.2505975E-04
3.9810717E-02  1.6318822E-04
4.0738028E-02  2.1201784E-04
4.1686938E-02  2.7360947E-04
4.2657952E-02  3.5084862E-04
4.3651583E-02  4.4667249E-04
4.4668359E-02  5.6503088E-04
4.5708819E-02  7.1062731E-04
4.6773514E-02  8.8831878E-04
4.7863009E-02  1.1040634E-03
4.8977882E-02  1.3606271E-03
5.0118723E-02  1.6719344E-03
5.1286138E-02  2.0429844E-03
5.2480746E-02  2.4868693E-03
5.3703180E-02  3.0019634E-03
5.4954087E-02  3.6107898E-03
5.6234133E-02  4.3205581E-03
5.7543994E-02  5.1502123E-03
5.8884366E-02  6.1028992E-03
6.0255959E-02  7.1916000E-03
6.1659500E-02  8.4394287E-03
6.3095734E-02  9.8725265E-03
6.4565423E-02  1.1481089E-02
6.6069345E-02  1.3305609E-02
6.7608298E-02  1.5354275E-02
6.9183097E-02  1.7646930E-02
7.0794578E-02  2.0201040E-02
7.2443596E-02  2.3036553E-02
7.4131024E-02  2.6168486E-02
7.5857758E-02  2.9616944E-02
7.7624712E-02  3.3400205E-02
7.9432823E-02  3.7521679E-02
8.1283052E-02  4.2051062E-02
8.3176377E-02  4.6936046E-02
8.5113804E-02  5.2216507E-02
8.7096359E-02  5.7907503E-02
8.9125094E-02  6.4019720E-02
9.1201084E-02  7.0561601E-02
9.3325430E-02  7.7543665E-02
